Gene ID	EC#	HMMER	dbCAN_sub	DIAMOND	#ofTools	genome_name
NODE_1_length_367285_cov_22.151545_81	-	-	-	GH5_11	1	CM1_23_S50
NODE_1_length_367285_cov_22.151545_197	-	-	-	GH0	1	CM1_23_S50
NODE_1_length_367285_cov_22.151545_248	-	-	-	GT1	1	CM1_23_S50
NODE_1_length_367285_cov_22.151545_270	-	-	-	GH13	1	CM1_23_S50
NODE_1_length_367285_cov_22.151545_274	-	-	-	CE8	1	CM1_23_S50
NODE_1_length_367285_cov_22.151545_277	-	-	-	GT4	1	CM1_23_S50
NODE_2_length_304246_cov_23.334369_22	-	-	-	GT2	1	CM1_23_S50
NODE_2_length_304246_cov_23.334369_187	-	-	-	GH1	1	CM1_23_S50
NODE_2_length_304246_cov_23.334369_203	-	-	-	GH13_31	1	CM1_23_S50
NODE_2_length_304246_cov_23.334369_256	-	-	-	GT83	1	CM1_23_S50
NODE_3_length_206704_cov_31.954012_13	-	-	-	GT2	1	CM1_23_S50
NODE_3_length_206704_cov_31.954012_45	-	-	-	GH28	1	CM1_23_S50
NODE_6_length_147244_cov_27.555884_15	-	-	-	GH23	1	CM1_23_S50
NODE_6_length_147244_cov_27.555884_75	-	-	-	GH0	1	CM1_23_S50
NODE_7_length_124649_cov_18.659948_26	-	-	-	GT83	1	CM1_23_S50
NODE_7_length_124649_cov_18.659948_28	-	-	-	GH13_11	1	CM1_23_S50
NODE_7_length_124649_cov_18.659948_110	-	-	-	CBM50	1	CM1_23_S50
NODE_7_length_124649_cov_18.659948_114	-	-	-	GH28	1	CM1_23_S50
NODE_8_length_122791_cov_30.013419_40	-	-	-	GH1	1	CM1_23_S50
NODE_8_length_122791_cov_30.013419_43	-	-	-	GH38	1	CM1_23_S50
NODE_8_length_122791_cov_30.013419_100	-	-	-	GT58	1	CM1_23_S50
NODE_9_length_113028_cov_27.307827_64	-	-	-	GH1	1	CM1_23_S50
NODE_10_length_112711_cov_22.232706_108	-	-	-	GH28	1	CM1_23_S50
NODE_11_length_112204_cov_24.006968_43	-	-	-	CBM48+GH13_9	1	CM1_23_S50
NODE_12_length_111489_cov_30.064349_45	-	-	-	GH13_31	1	CM1_23_S50
NODE_13_length_88860_cov_19.375418_12	-	-	-	GT2	1	CM1_23_S50
NODE_14_length_86907_cov_23.972609_34	-	-	-	GT4	1	CM1_23_S50
NODE_14_length_86907_cov_23.972609_80	-	-	-	GH2	1	CM1_23_S50
NODE_15_length_76647_cov_27.521628_54	-	-	-	GT58	1	CM1_23_S50
NODE_16_length_75594_cov_32.173771_12	-	-	-	GH130	1	CM1_23_S50
NODE_16_length_75594_cov_32.173771_65	-	-	-	GH36	1	CM1_23_S50
NODE_16_length_75594_cov_32.173771_67	-	-	-	GH84	1	CM1_23_S50
NODE_17_length_75570_cov_31.199356_43	-	-	-	GH13_30	1	CM1_23_S50
NODE_20_length_61542_cov_20.448522_40	-	-	-	GH28	1	CM1_23_S50
NODE_22_length_52106_cov_30.052944_23	-	-	-	GT2	1	CM1_23_S50
NODE_23_length_49799_cov_31.030238_35	-	-	-	GH4	1	CM1_23_S50
NODE_10_length_101304_cov_37.969469_21	-	GT2(3-164)	GT2	GT2	3	CM1_26_S52
NODE_12_length_86907_cov_28.732842_79	3.2.1.23:11	GH2(20-629)	GH2_e13	GH2	3	CM1_26_S52
NODE_13_length_86051_cov_22.412876_36	-	GT2(5-108)	GT2	GT2	3	CM1_26_S52
NODE_13_length_86051_cov_22.412876_81	-	GH73(302-464)	GH73_e132	-	2	CM1_26_S52
NODE_14_length_76647_cov_32.848458_24	-	GH25(51-234)	GH25_e171	GH25	3	CM1_26_S52
NODE_15_length_75570_cov_35.603979_66	-	CE4(79-190)	CE4_e246	CE4	3	CM1_26_S52
NODE_16_length_74387_cov_21.909251_33	-	GT51(65-238)	GT51_e21	-	2	CM1_26_S52
NODE_19_length_54829_cov_37.252642_10	-	CE4(81-203)	CE4_e82	CE4	3	CM1_26_S52
NODE_19_length_54829_cov_37.252642_14	-	GT28(188-337)	GT28_e30	GT28	3	CM1_26_S52
NODE_1_length_656803_cov_25.062401_35	-	AA7(48-237)	-	-	1	CM1_26_S52
NODE_1_length_656803_cov_25.062401_417	3.2.1.86:12|3.2.1.38:3|3.2.1.85:3|3.2.1.21:1|3.2.1.-:1	GH1(7-479)	GH1_e115	GH1	3	CM1_26_S52
NODE_1_length_656803_cov_25.062401_497	2.4.1.1:158	GT35(95-814)	GT35_e0	GT35	3	CM1_26_S52
NODE_1_length_656803_cov_25.062401_543	-|-	GH13_39(187-518)	CBM34_e3+GH13_e89	GH13_39	3	CM1_26_S52
NODE_1_length_656803_cov_25.062401_544	2.4.1.1:158	GT35(94-809)	GT35_e0	GT35	3	CM1_26_S52
NODE_1_length_656803_cov_25.062401_545	-	GT5(8-478)	GT5_e1	GT5	3	CM1_26_S52
NODE_1_length_656803_cov_25.062401_548	2.4.1.18:57|2.4.1.18:14	CBM48(25-105)+GH13_9(176-477)	CBM48_e2+GH13_e200	CBM48+GH13_9	3	CM1_26_S52
NODE_1_length_656803_cov_25.062401_597	-	GH109(2-142)	-	-	1	CM1_26_S52
NODE_21_length_49800_cov_36.848489_14	3.2.1.86:16	GH4(6-180)	GH4_e24	GH4	3	CM1_26_S52
NODE_21_length_49800_cov_36.848489_15	3.2.1.122:13	GH4(6-184)	GH4_e4	GH4	3	CM1_26_S52
NODE_21_length_49800_cov_36.848489_29	3.2.1.122:13	GH4(8-184)	GH4_e4	GH4	3	CM1_26_S52
NODE_21_length_49800_cov_36.848489_34	3.2.1.122:13	GH4(8-184)	GH4_e4	GH4	3	CM1_26_S52
NODE_27_length_6162_cov_29.854184_1	-	GH73(268-427)	GH73_e132	GH73	3	CM1_26_S52
NODE_2_length_304019_cov_27.533699_105	3.2.1.89:17|3.2.1.89:17	GH53(64-316)+GH53(404-794)	GH53_e14+GH53_e14	GH53	3	CM1_26_S52
NODE_2_length_304019_cov_27.533699_106	3.2.1.89:17|3.2.1.89:17	GH53(63-318)+GH53(406-795)	GH53_e14+GH53_e14	GH53	3	CM1_26_S52
NODE_2_length_304019_cov_27.533699_124	-	GT51(82-264)	GT51_e43	GT51	3	CM1_26_S52
NODE_2_length_304019_cov_27.533699_133	-	CE4(45-174)	CE4_e225	CE4	3	CM1_26_S52
NODE_2_length_304019_cov_27.533699_141	3.2.1.86:49|3.2.1.21:4|3.2.1.37:1	GH1(3-476)	GH1_e85	GH1	3	CM1_26_S52
NODE_2_length_304019_cov_27.533699_144	-	CE4(51-173)	CE4_e137	CE4	3	CM1_26_S52
NODE_2_length_304019_cov_27.533699_145	-	CE9(3-367)	CE9_e44	CE9	3	CM1_26_S52
NODE_2_length_304019_cov_27.533699_195	-	GH109(1-151)	GH109_e7	-	2	CM1_26_S52
NODE_2_length_304019_cov_27.533699_202	-	GH32(37-347)	GH32_e67	GH32	3	CM1_26_S52
NODE_2_length_304019_cov_27.533699_215	-	GT14(5-250)	GT14_e13	-	2	CM1_26_S52
NODE_2_length_304019_cov_27.533699_219	-	GT2(6-126)	GT2	-	2	CM1_26_S52
NODE_2_length_304019_cov_27.533699_220	-	GT2(12-151)	GT2	GT2	3	CM1_26_S52
NODE_2_length_304019_cov_27.533699_221	-	GT4(212-357)	GT4_e224	GT4	3	CM1_26_S52
NODE_2_length_304019_cov_27.533699_260	3.2.1.68:75|2.4.1.25:4|3.2.1.-:1|3.2.1.68:15|3.2.1.-:1	GH13_11(191-552)	CBM48_e3+GH13_e48	CBM48+GH13_11	3	CM1_26_S52
NODE_2_length_304019_cov_27.533699_61	-	GH109(5-142)	-	-	1	CM1_26_S52
NODE_3_length_261435_cov_32.253486_119	3.2.1.80:1|3.2.1.80:1|3.2.1.80:1	CBM66(50-216)+GH32(344-648)+CBM66(914-1076)	CBM66_e1+GH32_e42+CBM66_e1	CBM66+GH32	3	CM1_26_S52
NODE_3_length_261435_cov_32.253486_129	-	GH3(116-346)	GH3_e215	GH3	3	CM1_26_S52
NODE_3_length_261435_cov_32.253486_136	-	GT4(193-338)	GT4_e3212	GT4	3	CM1_26_S52
NODE_3_length_261435_cov_32.253486_138	-	GT2(4-161)	GT2	GT2	3	CM1_26_S52
NODE_3_length_261435_cov_32.253486_139	-	GT2(5-119)	GT2	GT2	3	CM1_26_S52
NODE_3_length_261435_cov_32.253486_140	-	GT4(201-342)	GT4_e1204	GT4	3	CM1_26_S52
NODE_3_length_261435_cov_32.253486_142	-	GT2(7-172)	GT2	GT2	3	CM1_26_S52
NODE_3_length_261435_cov_32.253486_143	-	GT2(6-164)	GT2	GT2	3	CM1_26_S52
NODE_3_length_261435_cov_32.253486_145	-	GT2(5-151)	GT2	GT2	3	CM1_26_S52
NODE_3_length_261435_cov_32.253486_147	-	GT32(104-185)	GT32_e186	GT32	3	CM1_26_S52
NODE_3_length_261435_cov_32.253486_148	-	GT2(8-149)	GT2	GT2	3	CM1_26_S52
NODE_3_length_261435_cov_32.253486_150	-	GT2(7-181)	GT2	GT2	3	CM1_26_S52
NODE_3_length_261435_cov_32.253486_184	-	GH25(50-227)	GH25_e110	GH25	3	CM1_26_S52
NODE_3_length_261435_cov_32.253486_59	3.2.1.-:2	GH13_20(30-319)	GH13_e141	GH13	3	CM1_26_S52
NODE_4_length_163715_cov_30.441194_100	-	GT2(6-134)	GT2	GT2	3	CM1_26_S52
NODE_4_length_163715_cov_30.441194_107	-	AA7(43-237)	AA4_e1	-	2	CM1_26_S52
NODE_4_length_163715_cov_30.441194_132	2.4.1.25:3	GH77(150-458)	GH77_e1	GH77	3	CM1_26_S52
NODE_4_length_163715_cov_30.441194_140	1.1.3.38:1	AA4(11-238)	AA4_e0	-	2	CM1_26_S52
NODE_4_length_163715_cov_30.441194_5	3.2.1.26:3	GH32(37-339)	GH32_e76	GH32	3	CM1_26_S52
NODE_4_length_163715_cov_30.441194_53	-	GT2(4-112)	GT2	GT2	3	CM1_26_S52
NODE_4_length_163715_cov_30.441194_61	-	CE12(34-260)	CE12_e54	-	2	CM1_26_S52
NODE_4_length_163715_cov_30.441194_63	-	GT4(679-818)	GT4_e401	GT4	3	CM1_26_S52
NODE_4_length_163715_cov_30.441194_65	-	GT2(6-153)	GT2	GT2	3	CM1_26_S52
NODE_4_length_163715_cov_30.441194_69	-	GT2(14-180)	GT2	GT2	3	CM1_26_S52
NODE_4_length_163715_cov_30.441194_7	-	GH32(6-294)	GH32_e121	GH32	3	CM1_26_S52
NODE_4_length_163715_cov_30.441194_88	-	GT2(5-143)	GT2	-	2	CM1_26_S52
NODE_4_length_163715_cov_30.441194_91	-	GT2(8-150)	GT2	-	2	CM1_26_S52
NODE_4_length_163715_cov_30.441194_92	-	GT4(222-362)	GT4_e554	GT4	3	CM1_26_S52
NODE_5_length_147702_cov_37.871448_105	-	GT51(83-260)	GT51_e21	GT51	3	CM1_26_S52
NODE_5_length_147702_cov_37.871448_40	5.4.99.11:5|3.2.1.20:4|3.2.1.10:1|3.2.1.-:1|3.2.1.70:1	GH13_31(29-377)	GH13_e122	GH13_31	3	CM1_26_S52
NODE_8_length_112712_cov_26.714811_101	2.4.1.21:9	GT5(81-554)	GT5_e9	GT5	3	CM1_26_S52
NODE_9_length_111489_cov_34.962348_81	2.4.1.18:14	GH13_9(164-453)	GH13_e200	CBM48+GH13_9	3	CM1_26_S52
NODE_19_length_54829_cov_37.252642_4	-	-	CBM50_e564	CBM50	2	CM1_26_S52
NODE_20_length_52106_cov_35.525520_7	-	-	CBM50_e393	CBM50	2	CM1_26_S52
NODE_4_length_163715_cov_30.441194_93	2.4.1.-:1	-	GT4_e510	GT4	2	CM1_26_S52
NODE_11_length_88860_cov_20.565832_35	-	-	GT2	GT2	2	CM1_26_S52
NODE_3_length_261435_cov_32.253486_200	-	-	GH23_e21	GH23	2	CM1_26_S52
NODE_1_length_656803_cov_25.062401_366	-	-	GH23_e928	GH23	2	CM1_26_S52
NODE_22_length_39846_cov_21.017951_11	-	-	GH73_e261	-	1	CM1_26_S52
NODE_7_length_124694_cov_20.412172_10	-	-	GH73_e261	GH73	2	CM1_26_S52
NODE_1_length_656803_cov_25.062401_213	-	-	-	GT4	1	CM1_26_S52
NODE_1_length_656803_cov_25.062401_249	-	-	-	GH5_11	1	CM1_26_S52
NODE_1_length_656803_cov_25.062401_365	-	-	-	GH0	1	CM1_26_S52
NODE_1_length_656803_cov_25.062401_416	-	-	-	GT1	1	CM1_26_S52
NODE_1_length_656803_cov_25.062401_438	-	-	-	GH13	1	CM1_26_S52
NODE_1_length_656803_cov_25.062401_442	-	-	-	CE8	1	CM1_26_S52
NODE_1_length_656803_cov_25.062401_445	-	-	-	GT4	1	CM1_26_S52
NODE_1_length_656803_cov_25.062401_547	-	-	-	CBM48+GH13_9	1	CM1_26_S52
NODE_2_length_304019_cov_27.533699_22	-	-	-	GT2	1	CM1_26_S52
NODE_2_length_304019_cov_27.533699_187	-	-	-	GH1	1	CM1_26_S52
NODE_2_length_304019_cov_27.533699_203	-	-	-	GH13_31	1	CM1_26_S52
NODE_2_length_304019_cov_27.533699_256	-	-	-	GT83	1	CM1_26_S52
NODE_3_length_261435_cov_32.253486_48	-	-	-	GH0	1	CM1_26_S52
NODE_3_length_261435_cov_32.253486_108	-	-	-	GH23	1	CM1_26_S52
NODE_3_length_261435_cov_32.253486_163	-	-	-	GH1	1	CM1_26_S52
NODE_5_length_147702_cov_37.871448_76	-	-	-	GH130	1	CM1_26_S52
NODE_5_length_147702_cov_37.871448_129	-	-	-	GH36	1	CM1_26_S52
NODE_5_length_147702_cov_37.871448_131	-	-	-	GH84	1	CM1_26_S52
NODE_6_length_136203_cov_34.466916_40	-	-	-	GH1	1	CM1_26_S52
NODE_6_length_136203_cov_34.466916_43	-	-	-	GH38	1	CM1_26_S52
NODE_6_length_136203_cov_34.466916_100	-	-	-	GT58	1	CM1_26_S52
NODE_7_length_124694_cov_20.412172_11	-	-	-	GH28	1	CM1_26_S52
NODE_7_length_124694_cov_20.412172_15	-	-	-	CBM50	1	CM1_26_S52
NODE_7_length_124694_cov_20.412172_97	-	-	-	GH13_11	1	CM1_26_S52
NODE_7_length_124694_cov_20.412172_99	-	-	-	GT83	1	CM1_26_S52
NODE_8_length_112712_cov_26.714811_22	-	-	-	GH28	1	CM1_26_S52
NODE_9_length_111489_cov_34.962348_72	-	-	-	GH13_31	1	CM1_26_S52
NODE_11_length_88860_cov_20.565832_12	-	-	-	GT2	1	CM1_26_S52
NODE_12_length_86907_cov_28.732842_34	-	-	-	GT4	1	CM1_26_S52
NODE_12_length_86907_cov_28.732842_80	-	-	-	GH2	1	CM1_26_S52
NODE_13_length_86051_cov_22.412876_33	-	-	-	GH28	1	CM1_26_S52
NODE_14_length_76647_cov_32.848458_54	-	-	-	GT58	1	CM1_26_S52
NODE_15_length_75570_cov_35.603979_43	-	-	-	GH13_30	1	CM1_26_S52
NODE_17_length_67753_cov_37.184515_42	-	-	-	GH28	1	CM1_26_S52
NODE_20_length_52106_cov_35.525520_23	-	-	-	GT2	1	CM1_26_S52
NODE_21_length_49800_cov_36.848489_35	-	-	-	GH4	1	CM1_26_S52
NODE_23_length_37113_cov_36.607446_11	-	-	-	GT2	1	CM1_26_S52
NODE_10_length_102475_cov_22.617140_31	-|-	GH13_39(187-518)	CBM34_e3+GH13_e89	GH13_39	3	CM1_30_S215
NODE_10_length_102475_cov_22.617140_32	2.4.1.1:158	GT35(94-809)	GT35_e0	GT35	3	CM1_30_S215
NODE_10_length_102475_cov_22.617140_33	-	GT5(8-478)	GT5_e1	GT5	3	CM1_30_S215
NODE_10_length_102475_cov_22.617140_36	2.4.1.18:57|2.4.1.18:14	CBM48(25-105)+GH13_9(176-477)	CBM48_e2+GH13_e200	CBM48+GH13_9	3	CM1_30_S215
NODE_10_length_102475_cov_22.617140_87	-	GH109(2-142)	-	-	1	CM1_30_S215
NODE_11_length_92606_cov_28.208912_1	5.4.99.11:5|3.2.1.20:4|3.2.1.10:1|3.2.1.-:1|3.2.1.70:1	GH13_31(29-377)	GH13_e122	GH13_31	3	CM1_30_S215
NODE_11_length_92606_cov_28.208912_58	-	GT51(83-260)	GT51_e21	GT51	3	CM1_30_S215
NODE_12_length_88130_cov_23.659489_10	-	GT4(192-302)	GT4_e150	GT4	3	CM1_30_S215
NODE_12_length_88130_cov_23.659489_11	-	GT2(8-115)	GT2	GT2	3	CM1_30_S215
NODE_12_length_88130_cov_23.659489_13	-	GT4(226-370)	GT4_e134	GT4	3	CM1_30_S215
NODE_12_length_88130_cov_23.659489_14	-	GT32(20-97)	GT32_e192	-	2	CM1_30_S215
NODE_12_length_88130_cov_23.659489_15	-	GT4(206-349)	GT4_e1204	-	2	CM1_30_S215
NODE_12_length_88130_cov_23.659489_16	-	GT4(213-353)	GT4_e1204	-	2	CM1_30_S215
NODE_12_length_88130_cov_23.659489_18	-	GT2(4-164)	GT2	-	2	CM1_30_S215
NODE_12_length_88130_cov_23.659489_2	-	GH3(116-346)	GH3_e215	GH3	3	CM1_30_S215
NODE_12_length_88130_cov_23.659489_21	-	GT2(7-81)	GT2	-	2	CM1_30_S215
NODE_12_length_88130_cov_23.659489_65	-	GH25(87-265)	GH25_e110	GH25	3	CM1_30_S215
NODE_12_length_88130_cov_23.659489_9	-	GT4(193-338)	GT4_e3212	GT4	3	CM1_30_S215
NODE_13_length_79125_cov_17.102977_28	-	GT2(5-108)	GT2	GT2	3	CM1_30_S215
NODE_14_length_77336_cov_23.333873_1	-	GH73(268-428)	GH73_e132	GH73	3	CM1_30_S215
NODE_15_length_76196_cov_27.126083_20	3.2.1.86:16	GH4(6-180)	GH4_e24	GH4	3	CM1_30_S215
NODE_15_length_76196_cov_27.126083_21	3.2.1.122:13	GH4(6-184)	GH4_e4	GH4	3	CM1_30_S215
NODE_15_length_76196_cov_27.126083_35	3.2.1.122:13	GH4(8-184)	GH4_e4	GH4	3	CM1_30_S215
NODE_15_length_76196_cov_27.126083_40	3.2.1.122:13	GH4(8-184)	GH4_e4	GH4	3	CM1_30_S215
NODE_16_length_75712_cov_25.693603_13	3.2.1.-:2	GH13_20(30-319)	GH13_e141	GH13	3	CM1_30_S215
NODE_17_length_75231_cov_21.528241_48	3.2.1.86:12|3.2.1.38:3|3.2.1.85:3|3.2.1.21:1|3.2.1.-:1	GH1(7-479)	GH1_e115	GH1	3	CM1_30_S215
NODE_18_length_68692_cov_24.428805_3	3.2.1.80:1|3.2.1.80:1|3.2.1.80:1	CBM66(50-216)+GH32(344-648)+CBM66(914-1076)	CBM66_e1+GH32_e42+CBM66_e1	CBM66+GH32	3	CM1_30_S215
NODE_1_length_221615_cov_27.188642_18	-	CE4(79-190)	CE4_e246	CE4	3	CM1_30_S215
NODE_20_length_64240_cov_23.447023_19	-	GH32(6-294)	GH32_e121	GH32	3	CM1_30_S215
NODE_20_length_64240_cov_23.447023_21	3.2.1.26:3	GH32(37-339)	GH32_e76	GH32	3	CM1_30_S215
NODE_20_length_64240_cov_23.447023_46	3.2.1.68:75|2.4.1.25:4|3.2.1.-:1|3.2.1.68:15|3.2.1.-:1	GH13_11(191-552)	CBM48_e3+GH13_e48	CBM48+GH13_11	3	CM1_30_S215
NODE_24_length_56851_cov_16.101721_45	-	AA7(48-237)	-	-	1	CM1_30_S215
NODE_25_length_56463_cov_27.170371_41	-	GT28(188-337)	GT28_e30	GT28	3	CM1_30_S215
NODE_25_length_56463_cov_27.170371_45	-	CE4(81-203)	CE4_e82	CE4	3	CM1_30_S215
NODE_26_length_49758_cov_26.000161_36	2.4.1.18:14	GH13_9(164-453)	GH13_e200	CBM48+GH13_9	3	CM1_30_S215
NODE_27_length_46528_cov_21.150794_52	3.2.1.89:17|3.2.1.89:17	GH53(64-320)+GH53(408-798)	GH53_e14+GH53_e14	GH53	3	CM1_30_S215
NODE_27_length_46528_cov_21.150794_53	3.2.1.89:17|3.2.1.89:17	GH53(63-318)+GH53(406-795)	GH53_e14+GH53_e14	GH53	3	CM1_30_S215
NODE_28_length_43538_cov_22.047154_19	-	GT4(191-324)	GT4_e1113	GT4	3	CM1_30_S215
NODE_28_length_43538_cov_22.047154_22	-	GT2(7-143)	GT2	GT2	3	CM1_30_S215
NODE_28_length_43538_cov_22.047154_23	-	GT4(194-338)	GT4_e647	GT4	3	CM1_30_S215
NODE_28_length_43538_cov_22.047154_25	-	GT4(202-352)	GT4_e2390	-	2	CM1_30_S215
NODE_29_length_40252_cov_24.897022_18	-	GH25(51-234)	GH25_e171	GH25	3	CM1_30_S215
NODE_35_length_35086_cov_18.707114_32	2.4.1.21:9	GT5(81-554)	GT5_e9	GT5	3	CM1_30_S215
NODE_37_length_31749_cov_27.591107_16	-	GT2(8-172)	GT2	GT2	3	CM1_30_S215
NODE_39_length_24175_cov_21.474301_17	2.4.1.1:158	GT35(95-814)	GT35_e0	GT35	3	CM1_30_S215
NODE_3_length_143612_cov_27.994459_25	-	GT2(3-164)	GT2	GT2	3	CM1_30_S215
NODE_40_length_21023_cov_22.617630_2	3.2.1.23:11	GH2(20-629)	GH2_e13	GH2	3	CM1_30_S215
NODE_44_length_11708_cov_25.143338_7	1.1.3.38:1	AA4(11-238)	AA4_e0	-	2	CM1_30_S215
NODE_4_length_137621_cov_19.845310_49	-	GH109(5-142)	-	-	1	CM1_30_S215
NODE_6_length_120664_cov_24.223268_33	-	AA7(43-237)	AA4_e1	-	2	CM1_30_S215
NODE_6_length_120664_cov_24.223268_40	-	GT2(6-134)	GT2	GT2	3	CM1_30_S215
NODE_6_length_120664_cov_24.223268_51	-	GT4(282-420)	GT4_e2463	GT4	3	CM1_30_S215
NODE_6_length_120664_cov_24.223268_53	-	GT2(3-151)	GT2	-	2	CM1_30_S215
NODE_6_length_120664_cov_24.223268_54	-	GT2(6-145)	GT2	-	2	CM1_30_S215
NODE_6_length_120664_cov_24.223268_55	-	GT113(12-356)	GT113_e9	GT113	3	CM1_30_S215
NODE_6_length_120664_cov_24.223268_66	-	GT2(6-149)	GT2	GT2	3	CM1_30_S215
NODE_6_length_120664_cov_24.223268_67	-	GT2(14-181)	GT2	GT2	3	CM1_30_S215
NODE_6_length_120664_cov_24.223268_72	-	GT2(7-143)	GT2	GT2	3	CM1_30_S215
NODE_6_length_120664_cov_24.223268_8	2.4.1.25:3	GH77(150-458)	GH77_e1	GH77	3	CM1_30_S215
NODE_6_length_120664_cov_24.223268_80	-	GT2(4-112)	GT2	GT2	3	CM1_30_S215
NODE_7_length_111209_cov_22.094624_104	-	GH32(37-347)	GH32_e67	GH32	3	CM1_30_S215
NODE_7_length_111209_cov_22.094624_15	-	CE4(45-174)	CE4_e225	CE4	3	CM1_30_S215
NODE_7_length_111209_cov_22.094624_22	-	CE4(51-173)	CE4_e137	CE4	3	CM1_30_S215
NODE_7_length_111209_cov_22.094624_23	-	CE9(3-367)	CE9_e44	CE9	3	CM1_30_S215
NODE_7_length_111209_cov_22.094624_6	-	GT51(82-264)	GT51_e43	GT51	3	CM1_30_S215
NODE_7_length_111209_cov_22.094624_79	-	GH109(3-156)	-	-	1	CM1_30_S215
NODE_7_length_111209_cov_22.094624_91	-	GH109(2-144)	GH109_e2	-	2	CM1_30_S215
NODE_6_length_120664_cov_24.223268_50	2.4.1.-:1	-	GT4_e510	GT4	2	CM1_30_S215
NODE_8_length_110558_cov_21.009046_24	-	-	GH23_e928	GH23	2	CM1_30_S215
NODE_25_length_56463_cov_27.170371_51	-	-	CBM50_e564	CBM50	2	CM1_30_S215
NODE_4_length_137621_cov_19.845310_101	-	-	GH23_e928	GH23	2	CM1_30_S215
NODE_19_length_67730_cov_16.337322_33	-	-	GT2	GT2	2	CM1_30_S215
NODE_1_length_221615_cov_27.188642_9	-	-	CBM50_e393	CBM50	2	CM1_30_S215
NODE_23_length_59189_cov_16.365921_44	-	-	GH73_e261	GH73	2	CM1_30_S215
NODE_1_length_221615_cov_27.188642_52	-	-	-	GH13_30	1	CM1_30_S215
NODE_1_length_221615_cov_27.188642_116	-	-	-	GH1	1	CM1_30_S215
NODE_1_length_221615_cov_27.188642_119	-	-	-	GH38	1	CM1_30_S215
NODE_1_length_221615_cov_27.188642_177	-	-	-	GT58	1	CM1_30_S215
NODE_2_length_156020_cov_18.915198_52	-	-	-	GT4	1	CM1_30_S215
NODE_2_length_156020_cov_18.915198_88	-	-	-	GH5_11	1	CM1_30_S215
NODE_3_length_143612_cov_27.994459_132	-	-	-	GH28	1	CM1_30_S215
NODE_7_length_111209_cov_22.094624_63	-	-	-	GH1	1	CM1_30_S215
NODE_7_length_111209_cov_22.094624_105	-	-	-	GH13_31	1	CM1_30_S215
NODE_10_length_102475_cov_22.617140_35	-	-	-	CBM48+GH13_9	1	CM1_30_S215
NODE_11_length_92606_cov_28.208912_24	-	-	-	GH130	1	CM1_30_S215
NODE_11_length_92606_cov_28.208912_81	-	-	-	GH36	1	CM1_30_S215
NODE_11_length_92606_cov_28.208912_83	-	-	-	GH84	1	CM1_30_S215
NODE_12_length_88130_cov_23.659489_45	-	-	-	GH1	1	CM1_30_S215
NODE_13_length_79125_cov_17.102977_25	-	-	-	GH28	1	CM1_30_S215
NODE_14_length_77336_cov_23.333873_37	-	-	-	GT4	1	CM1_30_S215
NODE_15_length_76196_cov_27.126083_41	-	-	-	GH4	1	CM1_30_S215
NODE_16_length_75712_cov_25.693603_23	-	-	-	GH0	1	CM1_30_S215
NODE_17_length_75231_cov_21.528241_24	-	-	-	GT4	1	CM1_30_S215
NODE_17_length_75231_cov_21.528241_27	-	-	-	CE8	1	CM1_30_S215
NODE_17_length_75231_cov_21.528241_31	-	-	-	GH13	1	CM1_30_S215
NODE_17_length_75231_cov_21.528241_49	-	-	-	GT1	1	CM1_30_S215
NODE_18_length_68692_cov_24.428805_14	-	-	-	GH23	1	CM1_30_S215
NODE_19_length_67730_cov_16.337322_56	-	-	-	GT2	1	CM1_30_S215
NODE_20_length_64240_cov_23.447023_49	-	-	-	GT83	1	CM1_30_S215
NODE_23_length_59189_cov_16.365921_39	-	-	-	CBM50	1	CM1_30_S215
NODE_23_length_59189_cov_16.365921_43	-	-	-	GH28	1	CM1_30_S215
NODE_30_length_39116_cov_27.335941_14	-	-	-	GT2	1	CM1_30_S215
NODE_31_length_37713_cov_16.472304_14	-	-	-	GH13_11	1	CM1_30_S215
NODE_31_length_37713_cov_16.472304_16	-	-	-	GT83	1	CM1_30_S215
NODE_32_length_37354_cov_26.563247_4	-	-	-	GH13_31	1	CM1_30_S215
NODE_34_length_36293_cov_19.494249_22	-	-	-	GT2	1	CM1_30_S215
NODE_35_length_35086_cov_18.707114_22	-	-	-	GH28	1	CM1_30_S215
NODE_37_length_31749_cov_27.591107_23	-	-	-	GT2	1	CM1_30_S215
NODE_38_length_29746_cov_25.044937_16	-	-	-	GT58	1	CM1_30_S215
NODE_40_length_21023_cov_22.617630_3	-	-	-	GH2	1	CM1_30_S215
NODE_11_length_88035_cov_39.332632_65	-	CE4(79-190)	CE4_e246	CE4	3	CM7_52_S47
NODE_12_length_75594_cov_41.336094_34	-	GT51(83-260)	GT51_e21	GT51	3	CM7_52_S47
NODE_13_length_72465_cov_43.126807_41	5.4.99.11:5|3.2.1.20:4|3.2.1.10:1|3.2.1.-:1|3.2.1.70:1	GH13_31(29-377)	GH13_e122	GH13_31	3	CM7_52_S47
NODE_14_length_66663_cov_27.492876_29	2.4.1.21:9	GT5(81-554)	GT5_e9	GT5	3	CM7_52_S47
NODE_16_length_55029_cov_39.293887_10	-	CE4(81-203)	CE4_e82	CE4	3	CM7_52_S47
NODE_16_length_55029_cov_39.293887_14	-	GT28(188-337)	GT28_e30	GT28	3	CM7_52_S47
NODE_17_length_51848_cov_24.198430_17	-	GT2(5-108)	GT2	GT2	3	CM7_52_S47
